費用,両替率,先生名,授業名,授業説明
2500,TWD,李柏鋒,職場寫作課：從個人品牌到自媒體,寫作是讓職場上的專業人士被看見的最重要方式，從打造個人品牌最重要的 10 篇關鍵文章，到發展成具有影響力的自媒體，本課程幫助學員被認識、被重視、被賞識。
1200,TWD,Yo Chen,新鮮人用設計思考寫出好履歷,寫履歷也要學？不要等到收不到通知才開始，好履歷也不是只有經歷豐富人的專利，這堂課彙整超過百位新鮮人的經驗，透過設計思考，讓每個人都能夠一步一步寫出理想工作的敲門磚。
2600,TWD,連禾,紙上的美妝師：連禾時尚彩妝畫,"時尚彩妝設計圖主要是以人體上半身的臉部及髮型設計紙圖為主，是傳達原創構思最佳方式，更是一項提昇美學技能在於美妝造型設計上表達力！
以手繪的方式在素描光影技法上表現，繪畫出具有真實和立體感的精緻設計圖。"
2388,TWD,臺灣行銷研究 - Ivan,顧客分類大師：Python x RFM 會員經營新觀點,"☛ 不知如何分析顧客的購買紀錄嗎？

☛ 如何區分新顧客、常貴客、沉睡客、流失客？

☛ 您了解不同群別的客戶樣貌嗎？

☛ 如何分配顧客行銷資源？如何精準推薦產品？

☛ 不同群別的客戶能為企業帶來多少獲利？"
2100,TWD,Lulu🌸,翻轉文字：給孩子好玩的創意寫作課！,創意有趣的寫作課，帶領學生思辨讀寫，提升閱讀理解能力；用輔導的角度，啟發學生的想像、引導寫出內心想法，讓文字從「心」出發！
1900,TWD,李李宜亞,大人的蠟筆畫：活用油畫知識，寫實生活微光,蠟筆畫入門課程，教你活用油畫知識，畫出寫實蠟筆畫。課程將從媒材介紹開始，教你蠟筆基礎繪畫技法，從筆觸輕重、混色、罩染等技巧，帶你用蠟筆畫出油畫的厚重質感。
2700,TWD,TJ,機器學習攻略：實戰心法到求職技巧,從什麼是機器學習開始，教你使用 scikit-learn 以及 PyTorch 訓練模型。接著，如何在世界最大機器學習比賽平台 Kaggle 上第一次參加影像分類比賽便拿到好成績，以及如何做一個好的 side project 充實作品集。有了好的履歷以後，教你怎麼回答機器學習案例面試題。從入門、實戰到求職的完整攻略！
3480,TWD,菓實日,法式甜點在地魂製作攻略－日日在家菓實日,從台灣物產與多元文化跟法式甜點的關係到在家中如何製作甜點、節省原料、變化食材，知名在地法式甜點品牌－菓實日的當家－饅頭師傅，帶你從吃開始，重新用甜點認識自己的文化、愛上自己的土地。
2400,TWD,職感・加,林長揚職場簡報術：一次搞定所有工作簡報！,職場簡報怎麼做？長揚老師推出最新職場簡報課程，內容囊括業務提案、會議報告、書面簡報，幫你打通職場工作簡報困難點，建構最實用的簡報即戰力！
2880,TWD,kellykiwi,概念式時尚插畫｜我的小小時裝週,"好多喜歡的衣服，鞋子包包，沒有辦法全部帶回家，畫下來也是很過癮的，利用水彩和色鉛筆，一個一個把心儀的時尚單品收錄下來，做自己的時尚總編輯。
這不只是一堂畫畫課，也是一堂身心靈療癒的課程。透過時尚單品的選擇，更加了解自己的喜好。"
1980,TWD,親子天下,羅寶鴻的安定教養課：12 個對話練習與心法,人氣專家羅寶鴻結合教養金三角「薩提爾、蒙特梭利、阿德勒」精髓，帶你安頓自我，看見孩子「沒規矩」背後的原因，用正向教養教出好規矩。
1580,TWD,欣講堂 xinforum,七日減醣計畫「一週持續執行！」邊吃邊享瘦,健康飲食作家「花花老師的減醣計畫」，用九堂課帶你從觀念到實作：包含豐富的減醣知識、獨家 15 分鐘減醣便當、氣炸鍋料理的七日菜單、以及針對「餐餐外食」的減醣持續方法等，帶你養成七日習慣，每健康享瘦！
